PRODUCT_NAME,1 star,2 star,3 star,4 star,5 star
Aqua Glow Gel Face Moisturizer With Himalayan Thermal Water and Hyaluronic Acid for 72 Hours Hydration - 100ml,1,0,7,15,122
Aqua Glow Hydrating Sunscreen Gel with Himalayan Thermal Water and Hyaluronic Acid - 50 g,0,0,3,20,124
Aqua Glow Skin Refreshing Combo for Hydrated & Fresh Skin,1,0,0,1,11
Aqua Glow Skin Refreshing Kit for Hydrated & Fresh Skin,0,0,1,0,22
Argan Hair Oil with Argan Oil and Avocado Oil for Frizz-Free and Stronger Hair - 250 ml,1,1,1,6,51
Argan Shampoo and Conditioner Combo,0,0,0,4,22
BhringAmla Conditioner with Bhringraj and Amla for Intense Hair Treatment - 250ml,0,0,0,2,21
BhringAmla Hair Mask with Bhringraj and Amla for Intense Hair Treatment - 200 g,1,0,1,1,60
BhringAmla Hair Oil with Bhringraj and Amla for Intense Hair Treatment - 250ml,2,0,5,24,125
BhringAmla Shampoo and Conditioner Combo,0,0,0,2,20
BhringAmla Shampoo with Bhringraj and Amla for Intense Hair Treatment - 250 ml,2,0,3,21,104
Body Wash Combo: Vitamin C Body Wash and Charcoal Body Wash,0,0,0,1,52
Brave Blueberry Body Lotion For Kids with Blueberry and Kokum Butter– 400 ml,0,0,0,0,19
Brave Blueberry Body Wash For Kids with Blueberry and Oat Protein - 300 ml,0,0,1,0,18
Bye Bye Acne Face Cream with Willow Bark Extract & Salicylic Acid For Clear Skin – 30 g,0,0,0,21,68
Bye Bye Open Pores Face Cream with Rosehip & Niacinamide For Pore Tightening – 30 g,0,0,3,13,73
Bye Bye Wrinkles Face Cream with Green Tea & Collagen for Wrinkles & Fine Lines – 30 g,0,0,1,3,30
Charcoal Black Long Stay Kajal 0.35 g - Pack of 2,0,0,0,3,20
Charcoal Black Long Stay Kajal Kohl Pencil With Castor Oil and Chamomile For 11-Hour Smudge-free Stay with Free Sharpener,1,0,0,7,101
Charcoal Black Long Stay Kajal with Vitamin C & Chamomile for 11-Hour Smudge-free Stay,1,0,0,18,136
Charcoal Body Wash With Charcoal and Mint for Deep Cleansing - 300 ml,1,0,1,4,91
Charcoal Face Wash and Scrub Combo,0,0,0,2,38
Charcoal Face Wash with Activated Charcoal and Coffee for Oil Control - 250ml,1,0,5,11,166
Charcoal Nourishing Bathing Soap With Charcoal and Mint for Deep Cleansing - 5x75g,1,0,1,8,73
CoCo Body Lotion With Coffee and Cocoa for Intense Moisturization - 400ml ,0,0,3,9,76
CoCo Body Wash With Coffee and Cocoa For Skin Awakening - 300 ml  ,1,0,1,4,37
CoCo Hand Cream with Coffee and Cocoa for Rich Moisturization - 50g,0,0,0,1,32
CoCo Nourishing Bathing Soap with Coffee and Cocoa - 5*75g,0,0,0,1,30
CoCo Nourishing Cold Cream With Coffee and Vitamin E For Rich Moisturization - 200 g,0,0,0,3,45
CoCo Tinted 100% Natural Lip Balm with CoCo and Vitamin E - 2g,0,0,1,6,48
Coco Soft Bathing Bar for Babies with Coconut Oil & Turmeric for Babies - Pack of 2*75g,0,0,0,0,14
Coco Soft Body Lotion with Coconut Milk & Turmeric for 24-Hour Moisturization - 400 ml,0,0,0,0,4
Coco Soft Body Wash For Babies With Coconut Milk & Turmeric - 400 ml,0,0,0,0,8
Coco Soft Face Cream With Coconut Milk & Turmeric For Babies - 60 g,0,0,0,0,3
Coco Soft Massage Oil with Coconut & Turmeric Oil for Babies - 200 ml,1,0,0,6,14
Damage Repair Combo,0,0,0,2,34
Damage Repair Kit,0,1,1,7,73
Dusting Powder with Organic Oatmeal and Arrowroot Powder for Babies - 300g,0,0,1,12,50
Eggplex Conditioner with Egg Protein & Collagen for Strength & Shine - 250 ml,0,0,0,25,33
Eggplex Shampoo with Egg Protein & Collagen for Strength and Shine - 250 ml,0,0,0,18,105
Essential Anti-Hair Fall Kit,1,1,4,8,151
Flowers of Youth Essence Serum with Hyaluronic Acid & Hibiscus for Youthful Skin – 30 ml ,0,0,0,19,43
Foaming Face Wash For Kids With Aloe Vera & Coconut For Gentle Cleansing- 150 ml ,0,0,1,19,46
Garden of Glow Essence Serum with Vitamin C & Passion Fruit for Skin Illumination – 30 ml,0,0,0,12,60
Green Tea Day Cream With Green Tea & Collagen For Open Pores - 50 g,0,0,0,20,34
Green Tea Face Serum With Green Tea & Collagen For Open Pores - 30 ml,0,0,0,16,47
Green Tea Face Wash With Green Tea & Collagen For Open Pores - 100 ml,0,0,0,21,29
Green Tea Night Cream With Green Tea & Collagen For Open Pores - 50 g,0,0,0,17,33
Green Tea Serum Gel with Green Tea & Collagen for Open Pores - 50 ml,0,0,0,30,29
Hair Fall Reduction Combo,1,0,3,13,113
Hair Oil Booster - 30 ml | Almond,0,0,1,19,36
Hair Oil Booster - 30 ml | Onion,0,0,0,14,34
Hair Oil Booster - 30 ml | Rice,0,0,1,16,40
Hair Oil Booster - 30 ml | Tea Tree,0,0,0,16,39
Henna Conditioner with Henna and Deep Roast Coffee for Premature Greying - 250 ml,1,0,0,1,4
Henna Hair Oil with Henna & Coffee Oil for Premature Graying - 150 ml,0,0,1,4,10
Henna Paste 200 g (Pack of 2),0,0,0,8,29
Henna Shampoo with Henna and Deep Roast Coffee for Premature Greying - 250 ml,0,0,2,5,25
Hyaluronic Bamboo Sheet Mask with Rosehip Oil for Soft and Plump Skin - 25 g,0,0,0,0,29
HydraGel Indian Sunscreen with Aloe Vera and Raspberry for Sun Protection - 50 g,0,0,6,21,125
Intense Hair Treatment Kit,0,0,0,4,50
Leaves of Clarity Essence Serum with Neem & Salicylic Acid for Clear Skin– 30 ml,0,0,1,18,31
Major Mango Body Lotion For Kids with Mango Butter & Milk Protein - 400 ml,0,0,0,0,14
Major Mango Body Lotion For Kids with Mango Butter & Milk Protein - 400 ml (Pack of 2),0,0,0,0,4
Major Mango Body Wash For Kids with Mango & Oat Protein - 300 ml (Pack of 2),0,0,0,0,5
Major Mango Body Wash For Kids with Mango and Oat Protein - 300 ml,0,0,0,1,18
Mamaearth Almond Hair Mask with Cold Pressed Almond Oil & Vitamin E for Healthy Hair Growth- 200 g,0,0,0,18,52
Mamaearth Cherry Tinted 100% Natural Lip Balm with Cherry and Coconut Oil - 2 g,0,0,2,18,101
Mamaearth Fruit Punch Toothpaste,0,0,0,0,39
Mamaearth ME Deo for a Scent That’s Unique to You  - 120 ml,0,0,0,8,84
Mamaearth ME Eau De Parfum For a Fragrance As Unique As You - 50 ml,0,0,3,10,195
Mamaearth Rose Tinted 100% Natural Lip Balm With Rose Oil and Castor Oil - 2 g,0,0,5,12,142
Mamaearth Vitamin C Tinted 100% Natural Lip Balm with Vitamin C & Honey - 2 g,1,0,1,5,72
Micellar Water Foaming Makeup Remover with Rose Water and Glycolic Acid for Makeup Cleansing - 150 ml,0,2,0,4,44
"Milky Soft Bathing Bar for Babies with Oats, Milk and Calendula - 75g x 2 ",0,0,0,3,15
"Milky Soft Body Lotion for Babies with Oats, Milk and Calendula - 400ml",0,0,1,13,78
"Milky Soft Body Wash for Babies with Oats, Milk and Calendula - 400 ml",1,0,0,2,36
Milky Soft Diaper Rash Cream for Babies - 50g,0,0,0,0,25
"Milky Soft Natural Lip Balm for Babies with Oats, Milk & Calendula – 4g",0,0,2,2,55
"Milky Soft Shampoo with Oats, Milk and Calendula for Babies - 400 ml",0,0,1,3,43
Moisture Matte Long Stay Lipstick - 2g | Bubblegum Nude,0,0,0,5,30
Moisture Matte Long Stay Lipstick - 2g | Candyfloss Pink,0,0,1,6,43
Moisture Matte Long Stay Lipstick - 2g | Carnation Nude,0,0,1,3,39
Moisture Matte Long Stay Lipstick - 2g | Cinnamon Nude,0,0,0,2,38
Moisture Matte Long Stay Lipstick - 2g | Espresso Brown,0,0,0,11,66
Moisture Matte Long Stay Lipstick - 2g | Melon Red,0,0,0,6,35
Moisture Matte Long Stay Lipstick - 2g | Pink Tulip,0,0,0,3,43
Moisture Matte Long Stay Lipstick - 2g | Plum Punch,0,0,0,0,15
Moisture Matte Long Stay Lipstick - 2g | Raspberry Scarlet,0,0,1,2,40
Natural Henna Combo ,0,0,0,5,12
Natural Henna Paste with Henna & Dark Roasted Coffee for Rich Naturally Colored Hair - 200 g,0,0,3,19,105
Natural Nourishing Bathing Soaps - 5x75g,0,0,1,9,93
Naturally Matte Liquid Lipstick - 3 ml | Berryddict Magenta,0,0,0,11,57
Naturally Matte Liquid Lipstick - 3 ml | Caramel Nude ,0,0,0,14,70
Naturally Matte Liquid Lipstick - 3 ml | Chirpy Cherry,0,0,1,13,59
Naturally Matte Liquid Lipstick - 3 ml | Chocolate Truffle,0,0,0,18,46
Naturally Matte Liquid Lipstick - 3 ml | Rosy Nude,0,0,1,6,56
Neem Body Scrub with Neem and Tulsi for Skin Purification - 200 g,0,0,0,8,35
Niacin Face Toner with Niacinamide and Witch Hazel for Acne and Open Pores - 200 ml,0,0,0,4,86
"Nourishing Bathing Bar Soap For Kids - ( Pack of 5, 75g Each)",1,0,0,4,112
Oil-Free Face Wash with Apple Cider Vinegar & Salicylic Acid for Acne-Prone Skin– 100 ml,0,0,0,8,51
Onion Hair Styling Cream for Men with Onion & Redensyl for Nourishment & Styling- 100 g,0,0,1,26,47
Onion Scalp Serum with Onion and Niacinamide for Healthy Hair Growth - 50ml,0,0,0,9,96
Onion Shampoo and Oil Combo,0,0,2,20,89
Onion Shampoo and Onion Hair Serum Combo,1,0,0,1,29
Onion Shampoo for Hair Growth and Hair Fall Control (250 ml) - Pack Of 2,0,1,1,8,55
Onion Shampoo for Hair Growth and Hair Fall Control with Onion and Plant Keratin - 1 Litre,0,2,0,3,75
Onion Shampoo with Onion and Plant Keratin for Hair Fall Control - 200ml,0,0,0,3,14
Original Orange Body Lotion For Kids With Orange & Shea Butter - 400 ml,0,0,0,0,13
Original Orange Body Lotion For Kids With Orange & Shea Butter - 400 ml (Pack of 2),0,0,0,1,2
Original Orange Body Wash For Kids with Orange and Oat Protein - 300 ml,0,0,1,2,37
Plant-Based Diaper Pants for Babies – 12-17 kg (Size XL - 30 Diapers),0,0,0,1,27
Plant-Based Diaper Pants for Babies – 3-5 kg (Size NB - 40 Diapers),0,0,1,3,15
Plant-Based Diaper Pants for Babies – 4-6 kg (Size S - 30 Diapers),0,0,0,2,35
Plant-Based Diaper Pants for Babies – 7-12 kg (Size M - 30 Diapers),0,0,1,1,33
Plant-Based Diaper Pants for Babies – 9-14 kg (Size L - 30 Diapers),0,0,1,0,32
Retinol Bamboo Sheet Mask with Retinol and Bakuchi for Fine Lines and Wrinkles - 25 g,0,0,0,1,40
Retinol Face Mask with Retinol and Bakuchi for Fine Lines & Wrinkles - 100 g,0,0,1,0,54
Retinol Face Serum,0,0,1,8,56
Retinol Face Wash with Retinol and Bakuchi for Fine Lines and Wrinkles - 100 ml,0,1,0,15,62
"Retinol Night Cream For Women with Retinol and Bakuchi for Anti Aging, Fine Lines and Wrinkles - 50 g",1,0,2,13,55
Rice Day Cream With Rice Water & Niacinamide for Glass Skin - 50 g,0,1,0,23,41
Rice Face Scrub With Rice Water & Niacinamide for Glass Skin - 100 g,0,0,0,3,17
Rice Face Serum With Rice Water & Niacinamide for Glass Skin - 30 ml,0,0,0,25,56
Rice Face Wash With Rice Water & Niacinamide for Glass Skin - 100 ml,0,0,1,3,68
Rice Gel Face Moisturizer With Rice Water & Niacinamide for Glass Skin - 100 ml,0,0,1,2,8
Rice Hair Oil with Rice Bran and Coconut Oil For Damage Repair - 150ml,0,0,1,4,62
Rice Night Cream With Rice Water & Niacinamide for Glass Skin - 50 g,0,0,0,0,14
Rice Oil-Free Face Moisturizer With Rice Water & Niacinamide for Glass Skin - 80 g,0,0,0,7,39
Rice Sleeping Face Mask With Rice Water & Niacinamide for Glass Skin - 100 ml,0,0,0,3,7
Rice Water Bamboo Sheet Mask with Rice Water and Coconut Milk for Deep Hydration - 25 g ,0,0,0,4,35
"Rice Water Conditioner with Rice Water and Keratin for Damaged, Dry and Frizzy Hair - 250 ml",0,0,0,6,71
Rice Water Hair Mask with Rice Water and Keratin For Smoothening Hair and Damage Repair - 200 g,0,0,2,7,49
Rice Water Shampoo For Damage Repair - 250ml,1,0,1,26,147
Rice Wonder Water With Rice Water & Keratin For Detangled Hair in 7 Seconds - 100 ml,1,0,3,3,89
Roots of Radiance Essence Serum with Ashwagandha & Turmeric for Radiant Skin – 30 ml,0,0,0,20,44
Rose Body Lotion with Rose Water & Milk for Deep Hydration (400 ml) - Pack of 2,0,0,0,1,6
Rose Body Lotion with Rose Water and Milk For Deep Hydration - 400ml,0,0,1,7,96
Rose Face Toner with Witch Hazel and Rose Water for Pore Tightening - 200ml,0,0,3,9,53
Rose Water Bamboo Sheet Mask with Rose Water and Milk for Glowing Skin - 25 g,1,0,0,3,47
Rosehip Face Serum with Rosehip & Gotu Kola for Glowing Skin – 30 ml,0,0,2,6,60
Skin Correct Face Serum for Acne Marks & Scars - 15 ml,2,0,1,18,111
Skin Illuminate Face Serum for Radiant Skin with Vitamin C and Turmeric - 15g ,0,0,1,11,100
Skin Illuminate Sunscreen Gel SPF 50 with Vitamin C & Turmeric for UVA & B Protection - 50 g,0,0,0,20,39
Skin Nourishing Body Care Combo - Ubtan Body Lotion + Rose Body Lotion  - (400 ml),0,0,0,1,9
Skin Radiance Body Care Kit - Ubtan Body Lotion & Vitamin C Body Lotion - (400 ml each),0,0,1,2,30
Skin Refreshing & Soothing Body Care Kit - Rose Body Lotion + Vitamin C Body Lotion - (400 ml),0,0,0,4,29
Spotless Skin Combo: Ubtan Facewash - 100ml and Bye Bye Blemishes Face Cream - 30ml,0,0,1,5,53
Sunscreen Body Lotion SPF 30 - 300 ml | Aloe Vera,0,0,1,20,37
Sunscreen Body Lotion SPF 30 - 300 ml | Ubtan,0,0,0,3,13
Sunscreen Body Lotion with SPF 30 - 300 ml | Vitamin C,0,0,2,1,21
Super Strawberry Body Lotion for Kids With Strawberry & Shea Butter - 400 ml,0,0,0,2,23
Super Strawberry Body Lotion for Kids With Strawberry & Shea Butter - 400 ml (Pack of 2),0,0,0,0,8
Super Strawberry Body Wash for Kids with Strawberry and Oat Protein - 300 ml,1,0,0,2,45
Tan Removal Combo,1,0,1,1,21
Tan Removal Regimen Kit,1,0,0,13,113
Tea Tree Body Wash With Tea Tree and Neem For Skin Purification - 300 ml ,0,0,0,5,75
"Tea Tree Face Mask for Acne, with Tea Tree and Salicylic Acid for Acne and Pimples - 100g",0,0,1,5,63
Tea Tree Face Scrub with Tea Tree and Neem for Skin Purification - 100g,0,0,1,3,59
Tea Tree Face Serum for Acne and Pimples - 30 ml,0,0,3,18,129
Tea Tree Face Wash with Neem for Acne and Pimples - 250ml,1,2,2,15,171
Tea Tree Foaming Face Wash with Tea Tree and Salicylic Acid for Acne and Pimples - 150ml,2,2,9,76,484
Tea Tree Hair Oil with Tea Tree and Ginger Oil for Dandruff Free Hair - 250ml,1,1,1,11,104
Tea Tree Nourishing Bathing Soap With Tea Tree and Neem for Skin Purification - 5x75g,0,0,1,3,28
Tea Tree Oil-Free Face Moisturizer with Tea Tree and Salicylic Acid for Acne and Pimples - 80 ml,2,0,3,15,107
Tea Tree Spot Gel Face Cream with Tea Tree and Salicylic Acid For Acne and Pimples - 15 g ,0,0,3,22,132
Ubtan Bamboo Sheet Mask with Turmeric and Saffron for Skin Brightening - 25 g,1,0,0,3,57
Ubtan Body Care Combo,0,0,1,0,8
Ubtan Body Lotion with Turmeric & Kokum Butter for Glowing Skin - 400 ml  (Pack of 2),0,0,0,0,8
Ubtan Body Lotion with Turmeric and Kokum Butter for Glowing Skin - 400 ml,0,1,5,5,86
Ubtan Body Scrub with Turmeric and Saffron for Tan Removal - 200 g,1,0,1,6,84
Ubtan Body Wash With Turmeric and Saffron for Glowing Skin - 300 ml,1,0,1,11,180
Ubtan Cleansing Milk with Turmeric & Saffron for Gentle Cleansing – 100ml,0,0,1,3,35
Ubtan Day Cream with Turmeric & Saffron for Skin Brightening – 50 g,1,0,1,9,56
Ubtan Face Serum with Turmeric & Saffron for Skin Brightening – 30 ml,0,0,1,14,71
Ubtan Face Wash 150 ml (Pack of 2),0,0,0,13,19
Ubtan Face Wash with Turmeric & Saffron for Tan Removal – 150 ml,0,0,6,23,185
Ubtan Facial Kit with Turmeric & Saffron for Glowing Skin - 60 g,0,0,0,0,7
Ubtan Foaming Face Wash with Turmeric and Saffron for Tan Removal - 150ml,4,0,1,15,273
Ubtan Hand Cream with Turmeric and Honey for Deep Moisturization - 50g,0,0,0,4,38
Ubtan Night Cream with Turmeric & Saffron for Skin Brightening – 50 g,0,0,1,4,52
Ubtan Night Face Mask with Turmeric and Niacinamide for Glowing Skin - 100 g,0,0,3,13,93
Ubtan Nourishing Bathing Soap With Turmeric and Saffron - 375g,0,0,0,2,89
Ubtan Nourishing Cold Cream with Turmeric & Saffron for Glowing Moisturization – 200 g,0,0,0,7,77
Ubtan Nourishing Hair Removal Kit With Turmeric & Saffron for Hair Removal & Growth Reduction - 100+50 g,0,0,6,9,192
Ubtan Oil-Free Face Moisturizer for Skin Brightening - 80 ml,0,0,1,11,57
Ubtan Tinted 100% Natural Lip Balm with Turmeric & Saffron - 2 g,0,0,1,5,31
Ubtan Ultra Light Gel Oil-Free Moisturizer with Turmeric and Saffron for Deep Hydration - 200 ml,1,0,2,37,139
Vitamin C 100% Natural Lip Care Kit With Lip Scrub & Lip Mask For Pink and Plump Lips - 90 g,0,0,0,8,54
Vitamin C Bamboo Sheet Mask with Vitamin C and Honey for Skin Illumination - 25 g,0,0,4,0,41
Vitamin C Body Lotion with Vitamin C & Honey for Radiant Skin - 400 ml   (Pack of 2),0,0,1,4,17
Vitamin C Body Lotion with Vitamin C and Honey for Radiant Skin - 400 ml  ,0,0,3,12,88
Vitamin C Body Wash with Vitamin C and Honey for Skin Illumination - 300ml,1,0,1,15,119
Vitamin C Daily Glow Face Cream - 80 g - Pack of 2,0,0,0,0,2
Vitamin C Daily Glow Face Cream With Vitamin C & Turmeric for Skin Illumination - 80 g,0,0,0,0,8
Vitamin C Day Regimen Combo,1,0,0,0,23
Vitamin C Day and Night Combo,0,0,2,3,21
Vitamin C Face Milk with Vitamin C and Peach for Skin Illumination - 100 ml,0,0,1,6,62
"Vitamin C Face Scrub for Glowing Skin, With Vitamin C and Walnut For Skin Illumination - 100 g",3,0,2,5,54
Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination - 100ml,0,0,2,14,61
Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination - 250ml,1,0,3,30,217
Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination - 80ml,0,0,0,7,30
Vitamin C Facial Kit with Vitamin C & Turmeric for Skin Illumination - 60 g,0,0,2,0,1
Vitamin C Foaming Face Wash Combo Pack with Refill - 150ml + 150ml,0,0,1,20,65
Vitamin C Foaming Face Wash with Vitamin C and Turmeric for Skin Illumination - 150ml,4,1,13,119,1053
Vitamin C Night Cream with Vitamin C and Gotu Kola for Skin Illumination - 50g,0,0,1,7,41
Vitamin C Nourishing Bathing Soap With Vitamin C and Honey for Skin Illumination - 5x75g,1,0,1,9,41
Vitamin C Nourishing Cold Cream with Vitamin C & Honey for Illuminating Moisturization - 200 g,0,0,1,6,49
Vitamin C Oil-Free Moisturizer For Face with Vitamin C and Gotu Kola for Skin Illumination - 80 ml,2,0,1,20,145
Vitamin C Skincare Regimen Kit,0,0,0,8,45
Vitamin C Ultra Light Gel Oil-Free Moisturizer with Vitamin C and Aloe Vera Water for Glowing Hydration - 200 ml,0,0,1,5,93
Vitamin C Under Eye Cream with Gotu Kola & Niacinamide for Brightening Under Eyes - 20 ml,0,0,2,4,86
Vitamin C Underarm Cream with Vitamin C & Turmeric for Brighter Underarms  – 50 g,0,0,0,13,51
Vitamin C Underarm Mask with Vitamin C & Turmeric for Brighter Underarms - 50 g,0,0,0,0,11
Vitamin C Underarm Scrub with Vitamin C and Turmeric for Brighter Underarms – 50 g,0,0,1,16,37
