Product,Summary
Aloe Vera Gel Moisturizer with Aloe Vera & Ashwagandha for a Youthful Glow - 100 g,"this is one of the best Aloe Vera Gel Moisturizer with ashwagandha. it has treated my skin irritation and breakouts effectively. it is a lightweight gel formula and not greasy, which I liked the most."
Aloe Vera Sunscreen Face Serum with Aloe Vera & Ashwagandha for UVA & B Protection - 30 ml,
Aloe Vera Oil-Free Face Moisturizer with Aloe Vera & Ashwagandha for a Youthful Glow - 80 g,saffron oil moisturizer hydrates my dry skin. saffron oil moisturizer hydrates my dry skin.
Onion Hair Styling Cream for Men with Onion & Redensyl for Nourishment & Styling- 100 g,"a small amount is enough. it styles, nourishes, and holds my hair perfectly. it does not harm like other synthetic or chemically-enriched gels. it has no toxins and is safe."
Natural Henna Paste with Henna & Dark Roasted Coffee for Rich Naturally Colored Hair - 200 g,"mama earth henna paste is the best henna mehndi powder for hair I have ever tried. it gives natural color, prevents premature graying, and conditions and nourishes my hair. I ordered this product for my mom as she has gray hair and she was suffering from hair damage."
Foaming Face Wash For Kids With Aloe Vera & Coconut For Gentle Cleansing- 150 ml ,"my 3-year-old daughter loves this face wash for her kids. it's mild, super-hydrating, and doesn't irritate the eyes. an is allergic to some washes and I have to be careful."
Henna Shampoo with Henna and Deep Roast Coffee for Premature Greying - 250 ml,mamaearth henna and coffee shampoo contain plant-based ingredients and come with no toxins. henna shampoo and conditioner has shown good results in reducing greying of hairs and improved hair and scalp health.
Henna Conditioner with Henna and Deep Roast Coffee for Premature Greying - 250 ml,.
Henna Hair Oil with Henna & Coffee Oil for Premature Graying - 150 ml,henna oil for grey hair has added more shine to my hair. it has also limited the growth of gray hair. it's deeply nourished the scalp.
Aloe Vera Sleeping Mask with Aloe Vera & Ashwagandha for a Youthful Glow - 100 g,aloe vera gel for Youthful Glow from Mamaearth works amazingly on my skin. it's moisturizing and has all good properties of aloe and ashwagandha. I use it every night and always have a moisturised and healthy looking skin in the morning.
Aloe Vera Face Serum with Aloe Vera & Ashwagandha for a Youthful Glow– 30 ml,Mamaearth aloe vera face serum is very essential part for face now days. it hydrates and adds shine to my skin. it gives so pleasant fragrance.
Aloe Ashwagandha Gel with Aloe Vera & Ashwagandha for a Youthful Glow - 300 ml,both aloe vera and Ashwagandha are rich in antioxidants which make them perfect skincare ingredients. ashwagandha gel with aloe vera for Moisturizes Skin is a perfect skincare gel.
 Aloe Vera Face Wash with Aloe Vera & Ashwagandha for a Youthful Glow - 100 ml,.
Aloe Vera Night Cream with Aloe Vera and Ashwagandha for a Youthful Glow – 50 g,this night cream is very effective and moisturizing for my dry skin. the texture of this natural best night cream is perfect and gets easily absorbed into the skin.
Aloe Vera Day Cream with Aloe Vera & Ashwagandha for a Youthful Glow - 50 g,"aloe vera day cream is made with aloe vera and Ashwagandha, which are naturally safe for all. perfect for summers and will suit all skin types."
Vitamin C Underarm Scrub with Vitamin C and Turmeric for Brighter Underarms – 50 g,"this vitamin C underarm scrub by Mamaearth is the best underarm whitening product on the market. it exfoliates and heals the underarms at the same time, with no rashes or irritation. this is the best underarm scrub that I've ever used."
Vitamin C Underarm Mask with Vitamin C & Turmeric for Brighter Underarms - 50 g,"Mamaearth Vitamin C underarm mask is super good. Feels light and natural. It is effective in reducing discoloration and brightening pigmented underarm skin.Go for it, it’s a definitely lovely product."
Vitamin C Underarm Cream with Vitamin C & Turmeric for Brighter Underarms  – 50 g,my underarms are getting lighter and the product also works as an anti-perspirant. this product has been very helpful for me in summers...but bcz of dark armpits I was getting hesitated...it changed the game...after 2 weeks of usage gave me slight visible results.
Original Orange Body Lotion For Kids With Orange & Shea Butter - 400 ml (Pack of 2),My kids love this orange body lotion...they come to me by themselves after taking a bath that they wanna put that good fragrance lotion on their body. they come to me by themselves after taking a bath that they wanna put that good fragrance lotion on their body!
Moisture Matte Long Stay Lipstick - 2g | Espresso Brown,the lipstick is super hydrated and yet gives ultra matt look. .
Moisture Matte Long Stay Lipstick - 2g | Pink Tulip,"this pink tulip lipstick shade is my favorite but is also loved by my mother, and she applies it just like I do. this matte lipstick shades for women are lightweight, don’t dry out my lips, and stay for a long time."
Moisture Matte Long Stay Lipstick - 2g | Raspberry Scarlet,raspberry Moisturizing Matte Lipstick moisturizes my lips for 8 hours with a 12-hour stay. my favorite lip shade is Smudge-Proof Raspberry Moisture Matte Lipstick.
Moisture Matte Long Stay Lipstick - 2g | Melon Red,. .
Moisture Matte Long Stay Lipstick - 2g | Bubblegum Nude,.
Moisture Matte Long Stay Lipstick - 2g | Cinnamon Nude,cinnamon nude lipstick was really good as the lipstick did come to be hydrating keeps my lips nourished and stay for 12hrs. it's long-lasting and moisturizes your lips.
Moisture Matte Long Stay Lipstick - 2g | Candyfloss Pink,.
Moisture Matte Long Stay Lipstick - 2g | Plum Punch,.
Moisture Matte Long Stay Lipstick - 2g | Carnation Nude,the 01 carnation nude lipstick shades have been launched. the matte finish look so beautiful. Recommend to every girl. Go for it. You won't regret.
Roots of Radiance Essence Serum with Ashwagandha & Turmeric for Radiant Skin – 30 ml,"the essence serum deeply hydrates, reduces dark spots and brightens your skin. jst awsm is the most effective serum to treat pimple problems. jst awsm is the most effective serum to treat acne."
Leaves of Clarity Essence Serum with Neem & Salicylic Acid for Clear Skin– 30 ml,Leaves of Clarity Essence Serum has neem and Salicylic Acid which makes it best for regular use. is the best salicylic acid serum in the market.
Garden of Glow Essence Serum with Vitamin C & Passion Fruit for Skin Illumination – 30 ml,"I've been using this serum for the past two weeks. it reduces dark spots, pigmentation and makes my skin look brighter. this is my 4th bottle and my friend recommended it to all."
Flowers of Youth Essence Serum with Hyaluronic Acid & Hibiscus for Youthful Skin – 30 ml ,this essence serum has reduced my acne dark spots and illuminated my skin. it has been 15 days since I have been using this serum. this serum has helped my skin heal with it's regular use.
Naturally Matte Liquid Lipstick - 3 ml | Chocolate Truffle,this naturally Matte Liquid Lip Serum is the best for everyday use. it stays on for 7-8 hours and doesn't make lips dry. I love the texture and the finish is amazing. it's easy to apply and hydrates them too.
Naturally Matte Liquid Lipstick - 3 ml | Chirpy Cherry,"this lip serum is 100% smudge proof, transfer free and toxin free. it gives your lips up to 8-hour intense hydration & up to 12-hour long-lasting rich matte color. it has no toxins and is paraben free too."
Naturally Matte Liquid Lipstick - 3 ml | Berryddict Magenta,"this naturally Matte Lip Serum is the best lip serum for all skin types. it will last for 7-8 hours and stays for 6-7 hours easily. it has vitamin C & E, which makes it the best lip shade for all skin types."
Naturally Matte Liquid Lipstick - 3 ml | Rosy Nude,"Mamaearth's matte rosy nude lipstick is filled with the goodness of natural ingredients, which helped me achieve soft and supple lips along with this beautiful appearance. it is also made safe certified, which means it contains no toxins added in it."
Naturally Matte Liquid Lipstick - 3 ml | Caramel Nude ,chnce coz's lip serum is a perfect nude shade for fair to medium complexion. it has no toxins and is plastic positive...it keeps the moisture intact...and my lips doesn't feel like drying out...it's a must have.
Bye Bye Wrinkles Face Cream with Green Tea & Collagen for Wrinkles & Fine Lines – 30 g,Mamaearth face cream for pores and wrinkles is made of 100% natural ingredients that suit all skin types. it works for fine lines and reduces signs of aging.
Bye Bye Open Pores Face Cream with Rosehip & Niacinamide For Pore Tightening – 30 g,"my face has always been acne prone, resulting in open pores now. bye bye open pores cream has just changed my life...my skin feels refreshing now!"
Bye Bye Acne Face Cream with Willow Bark Extract & Salicylic Acid For Clear Skin – 30 g,amazng face cream is the best face cream for oily and acne-prone skin. it works like medicinal ointment coz for a person like me. it has reduced my acne in just a week.
Mamaearth Almond Hair Mask with Cold Pressed Almond Oil & Vitamin E for Healthy Hair Growth- 200 g,"my hair is now bouncy, thicker, and healthier. it's all-natural, smells good, and is best used on a regular basis. it works wonders and reduces hair fall."
Oil-Free Face Wash with Apple Cider Vinegar & Salicylic Acid for Acne-Prone Skin– 100 ml,apple cider vinegar is a perfect face wash to treat acne and blemishes. .
Skin Radiance Body Care Kit - Ubtan Body Lotion & Vitamin C Body Lotion - (400 ml each),Mamaearth body lotion with vitamin C keeps skin hydrated and smooth. for longer than any other product. I am using it for more than a year.
Vitamin C Body Lotion with Vitamin C & Honey for Radiant Skin - 400 ml   (Pack of 2),amazing lotion. Hydrating the body skin and look radiant. all my allergic scares are reduced both of hands.
Mamaearth ME Eau De Parfum For a Fragrance As Unique As You - 50 ml,the fragrance smells really good but kinda fades away after around 5-6 hours. the packaging is eye soothing and the bottle is travel friendly.
Vitamin C 100% Natural Lip Care Kit With Lip Scrub & Lip Mask For Pink and Plump Lips - 90 g,"lip care kit works like a magic on dry and chopped lips, tq mamaearth gives natural products. I am a fan of this supreme lip care kit. it's the best lip care kit ever in the market."
Almond Conditioner with Almond Oil & Vitamin E for Healthy Hair Growth - 250 ml,"almond oil conditioner works well for my hair and helps my tresses stay straight and shiny. in around a month, his hair has become stronger and frizz-free."
Almond Shampoo with Cold Pressed Almond Oil and Vitamin E for Healthy Hair Growth - 250 ml,"Mamaearth almond hair shampoo is the best shampoo for men and women. it works for men and women, and works for all types of hair textures."
Almond Hair Oil with Cold Pressed Almond Oil & Vitamin E for Healthy Hair Growth - 150 ml	,"has been using badam oil for hair for a couple of months. the almond oil price is worth the cost, and there is so many benefits of almond oil for hair. has been using it for a couple of months."
Ubtan Nourishing Cold Cream with Turmeric & Saffron for Glowing Moisturization – 200 g,"ubtan cold cream is perfect for Delhi winters with goodness of turmeric, kesar and almonds. absorbs nicely leaving the skin nourished. ."
CoCo Nourishing Cold Cream With Coffee and Vitamin E For Rich Moisturization - 200 g,the best CoCo Nourishing Cold Cream for oily skin offers multiple uses for skin nourishment. it works for my skin as well and healed my redness and dullness. the best CoCo Nourishing Cold Cream in india I have tried so far.
Vitamin C Nourishing Cold Cream with Vitamin C & Honey for Illuminating Moisturization - 200 g,this cold cream ingredients are all natural so no harm to skin. deeply nourishes the skin from within I did magic on my cracked foot. in love with the fragrance and good for winter season no cracky skin.
Ubtan Oil-Free Face Moisturizer for Skin Brightening - 80 ml,my sensitive barrier and pimples were cured with this ubtan moisturising lotion. this moisturiser works and is possibly the best I've ever used.
Ubtan Body Care Combo,.
Aqua Glow Skin Refreshing Kit for Hydrated & Fresh Skin,good quality and quick service .
Mamaearth Vitamin C Tinted 100% Natural Lip Balm with Vitamin C & Honey - 2 g,coconut oil castor oil actually works on chapped lips. .
Ubtan Tinted 100% Natural Lip Balm with Turmeric & Saffron - 2 g,"mamaearth lip balm is the best lip balm in india. it is 100% natural, free from toxins, and can be used every day. ."
Mamaearth Rose Tinted 100% Natural Lip Balm With Rose Oil and Castor Oil - 2 g,"superb rose-tinted lip balm for boys and girls made with all-natural ingredients. it gives 24 hour moisturized lips. my brother also uses it sometimes when the weather changes, and it smells so good."
CoCo Tinted 100% Natural Lip Balm with CoCo and Vitamin E - 2g,is the best lip balm for pigmented lips in india. the color coco lip balm for dry lips really helps moisturize my lips during any season and makes them too soft for the day.
Mamaearth Cherry Tinted 100% Natural Lip Balm with Cherry and Coconut Oil - 2 g,Mamaearth lip balm is the best cherry tinted lip balm in india. is the best lip balm in india. is the best lip balm in india.
Super Strawberry Body Lotion for Kids With Strawberry & Shea Butter - 400 ml,Mamaearth Strawberry softening gel lotion is safe for babies and works for kids too.
Original Orange Body Lotion For Kids With Orange & Shea Butter - 400 ml,Mamaearth has done a good job with this orange body lotion for kids. my 6 year old son uses it every day. the body lotion is silky soft and absorbs quickly.
Major Mango Body Lotion For Kids with Mango Butter & Milk Protein - 400 ml,mango softening gel lotion for soft skin has the best fragrance which my daughter loves so dearly. easy to use and comes with multiple benefits.
Brave Blueberry Body Lotion For Kids with Blueberry and Kokum Butter– 400 ml,motherearth blueberry body lotion for kids is a must-have product for toddlers. it is a rich absorbing formula packed with natural ingredients.
Agent Apple Body Lotion for Kids with Apple & Oat Milk– 400 ml,"apple body lotion apple for kids is the best because it is suitable for all skin types. easy to use, and the apple body lotion price is economical too."
Charcoal Black Long Stay Kajal with Vitamin C & Chamomile for 11-Hour Smudge-free Stay,the best kajal pencil for men and women is retractable and lasts for more than 11 hours. the best men's kajal pencil is retractable and doesn't smudge at all.
Charcoal Black Long Stay Kajal Kohl Pencil With Castor Oil and Chamomile For 11-Hour Smudge-free Stay with Free Sharpener,"my daughter and I love the sharpness and boldness this kajal pencil provides us with. a mixture of safety, affordability and beauty is filled in this Mamaeaerth new makeup range. my family also prefers Mamaearth Ubtan Face Wash for men and women."
Ubtan Night Cream with Turmeric & Saffron for Skin Brightening – 50 g,"Mamaearth ubtan night cream is the best night cream for women facing pigmentation issues. is the best night cream for wrinkles, fine lines, and anti-aging issues."
Ubtan Nourishing Hair Removal Kit With Turmeric & Saffron for Hair Removal & Growth Reduction - 100+50 g,ubtan hair removal cream is made with pure natural ingredients. it effectively removes hair in 8mins and leaves your skin soft and smooth.
Vitamin C Under Eye Cream with Gotu Kola & Niacinamide for Brightening Under Eyes - 20 ml,
Ubtan Face Serum with Turmeric & Saffron for Skin Brightening – 30 ml,ubtan face serum has been a traditional solution to all skin problems for ages. I have also recommended this ubtan face serum for dry skin.
Ubtan Day Cream with Turmeric & Saffron for Skin Brightening – 50 g,"this lightweight saffron face cream is safe and natural and helps my skin feel smooth, silky, and plump. it has helped my mother treat wrinkles, early signs of aging, acne, fine lines, and dark spots."
Ubtan Cleansing Milk with Turmeric & Saffron for Gentle Cleansing – 100ml,"ubtan cleansing milk is the best to remove dirt and makeup from face. it is enriched with the goodness of Turmeric, Saffron and shea butter. it protects the skin from sun damage and brightens the skin."
Rosehip Face Serum with Rosehip & Gotu Kola for Glowing Skin – 30 ml,"mamaearth's non-greasy and deeply mositurizing rosehip oil face serum DIY offers deep moisturization to my skin. my go-to skincare routine includes face cleanser, this Rosehip Oil Serum by Mamaearth, and face cream."
Apple Cider Vinegar Face Mask With Apple Cider Vinegar & Rosehip Oil for Clear and Glowing Skin – 100 g,says apple cider vinegar is the best product for me. says apple cider vinegar is the best product for me.
Skin Correct Face Serum for Acne Marks & Scars - 15 ml,"I have been using it since from last month and getting satisfactory results. I had visible acne marks, but after using it for one month I can see changes my marks are almost gone. keeps skin hydrated. Loving it.purchase it without doubtPerfect serum for all Skin This is a very good product."
"Milky Soft Natural Lip Balm for Babies with Oats, Milk & Calendula – 4g",mamaearth milky soft natural lip balm for dark lips works wonders. it nourishes my baby’s lips naturally and keeps them soft and moisturized for a long time. .
10% Vitamin C Essence Serum with Vitamin C and Gotu Kola for Skin Illumination – 30ml,"this vitamin c serum for face in india has helped me get rid of dull skin, pigmentation, acne, and even pimples. has been using this product for a week. has been using this product for a week."
Retinol Face Mask with Retinol and Bakuchi for Fine Lines & Wrinkles - 100 g,this is by far the best retinol face mask I have ever used. it has nourished and hydrated my skin barrier without disturbing sensitive skin. you can also apply it while using retinol serums.
Rice Wonder Water With Rice Water & Keratin For Detangled Hair in 7 Seconds - 100 ml,Mamaearth rice water serum works like a keritan treatment it makes my hair straight and silky if u need a stylish look hair go for its worth to buy it. .
Aqua Glow Gel Face Moisturizer With Himalayan Thermal Water and Hyaluronic Acid for 72 Hours Hydration - 100ml,my honest Mamaearth aqua glow moisturizer review is that I gave it a try and now m addicted to it's goodness. .
Aqua Glow Face Serum with Himalayan Thermal Water and Hyaluronic Acid - 30 ml,ntg is to dislike just loved it Loved the product ntg is to dislike just loved it Loved the product ntg is to dislike just loved it Loved the product ntg is to dislike just loved it Follow a regular skincare routine and get that youthful glow. this face glow serum has helped me restore the radiance.
Aqua Glow Hydrating Sunscreen Gel with Himalayan Thermal Water and Hyaluronic Acid - 50 g,this is my Mamaearth Aqua Glow Hydrating Sunscreen product. it deeply hydrates and nourishes the skin. it is the best water based sunscreen in india because it provides hydration nourishment.
"Milky Soft Bathing Bar for Babies with Oats, Milk and Calendula - 75g x 2 ",. the packaging is excellent.
Onion Shampoo for Hair Growth and Hair Fall Control with Onion and Plant Keratin - 1 Litre,the packaging is cute and the product seemed nice and clean. I am using it for the 2 time and it reduces hairfall and nourishes the hair.
Natural Nourishing Bathing Soaps - 5x75g,organic bath soap is also the best paraben free soap in india. nourishing soap cleanses the skin deeply and removes dust and impurities.
Charcoal Nourishing Bathing Soap With Charcoal and Mint for Deep Cleansing - 5x75g,"charcoal soap ingredients like glycerin, activated charcoal, and mint oil deeply nourishes the skin. I bought this product after reading the Mamaearth charcoal soap review."
Vitamin C Nourishing Bathing Soap With Vitamin C and Honey for Skin Illumination - 5x75g,this is the best vitamin c soap in india...you should get it without thinking twice! .
Tea Tree Nourishing Bathing Soap With Tea Tree and Neem for Skin Purification - 5x75g,neem soap for skin cleanses the skin deeply and does not harm at all. this natural tea tree soap is free from harmful ingredients.
CoCo Nourishing Bathing Soap with Coffee and Cocoa - 5*75g,this coco soap deeply cleanses away dirt and the smell is so good that it makes me feel refreshed every time I use it. coffee soap bar is another wonderful product from Mamaearth which has been a part of my family’s daily bathing routine.
Ubtan Nourishing Bathing Soap With Turmeric and Saffron - 375g,ni doubt go for itIf you are facing tan issues and also blemishes are stressing you up. .
Milky Soft Diaper Rash Cream for Babies - 50g,"the product is amazing, baby skin is perfect and ZERO time rash, fantastic product. ."
"Milky Soft Body Lotion for Babies with Oats, Milk and Calendula - 400ml","Mamaearth milky soft body lotion for kids works best for summer season in india. oats moisturizer works best for winter season, and its ingredients list is effective too."
"Milky Soft Body Wash for Babies with Oats, Milk and Calendula - 400 ml",this milky soft body wash is best for babies delicate skin. it is enriched with the goodness of milk protein and oats. it deeply nourished babues skin and controls after bath dryness.
"Milky Soft Shampoo with Oats, Milk and Calendula for Babies - 400 ml","this milk protein shampoo by Mamaearth treated his dry scalp perfectly. has a gentle fragrance, no eye irritation, and offers effective hair care. it is safe for kids and doesn’t cause teary eyes to my son."
Charcoal Face Wash with Activated Charcoal and Coffee for Oil Control - 250ml,my skin gets more oily and dusted but thanks to this product which is very effective for both problem. I have combination type and acne prone skin and this facewash really worked for meIt is amazing the activated charcoal helps to purify skin and coffee controls the access amount of oil on face and aloe vera soothes the skin.
Vitamin C Day and Night Combo,an aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaan
Vitamin C Oil-Free Moisturizer For Face with Vitamin C and Gotu Kola for Skin Illumination - 80 ml,I found so many positive Mamaearth vitamin c moisturizer reviews before purchase. it is the best vitamin c moisturizer in india and a must-have product for regular use.
Tea Tree Oil-Free Face Moisturizer with Tea Tree and Salicylic Acid for Acne and Pimples - 80 ml,"Mamaearth tea tree moisturizer is a natural and safe tea tree acne moisturiser. contains tea tree, salicylic acid and vitamin E it helps in fighting acne and pimples."
Aqua Glow Face Wash With Himalayan Thermal Water and Hyaluronic Acid for Intense Hydration - 100ml,I bought this product from Nearby retail market. I really happy with this product. My skin texture change a lot. Thank u Best product on this segment in my opinionI had purchased this product on Nykaa. I tried it for the first time then I have got attached on this I must say.
Skin Illuminate Face Serum for Radiant Skin with Vitamin C and Turmeric - 15g ,I bought this serum from Mamaearth Skin Illuminate Face Serum stores. it worked on my hyperpigmentation in just two weeks of usage. it is very gentle and soothing for my texture.
Apple Cider Vinegar Hair Mask with Organic Apple Cider Vinegar and Biotin for Long and Shiny Hair - 200 g,"this hair mask for apple hair is the best apple cider vinegar uses for hair is beyond thought. it is safe, natural, and filled with care."
Rice Water Hair Mask with Rice Water and Keratin For Smoothening Hair and Damage Repair - 200 g,has been using this product for nearly a quiet time and believe me they are the best. has been using this product for two months.
Tea Tree Spot Gel Face Cream with Tea Tree and Salicylic Acid For Acne and Pimples - 15 g ,the best cream to remove pimple marks Fast I've been using it for 3-4 days and I've already noticed a difference. this one is fully worth the price. Those with acne-prone skin should definitely try this product.
Apple Cider Vinegar Conditioner with Organic Apple Cider Vinegar and Biotin for Long and Shiny Hair - 250ml,"all Mamaearth products are nice, safe, and lightweight with no side effects. I started using their de-tan face mask and face wash, and the moment I started noticing results, I thought of trying their haircare range."
Apple Cider Vinegar Shampoo with Organic Apple Cider Vinegar and Biotin for Long and Shiny Hair - 250ml,my teenage kids use it for its apple cider vinegar composition and related benefits. it strengthens hair roots and gives soft and shiny hair. the best thing about the product is that they are natural and toxin-free.
Damage Repair Kit,.
Damage Repair Combo,"this product repaired my damaged hair and my length also increased (3inches),add volume too. one of the finest products for hair Thanks mamaearth for this rice shampoo."
Vitamin C Ultra Light Gel Oil-Free Moisturizer with Vitamin C and Aloe Vera Water for Glowing Hydration - 200 ml,has bought vit c gel for my 19-year-old daughter. vit c gel is the best gel based moisturizer for combination skin.
Ubtan Ultra Light Gel Oil-Free Moisturizer with Turmeric and Saffron for Deep Hydration - 200 ml,"this ultra light moisturizer is the very first one suited for my skin. I always faced oil secretion, excessive sweating, skin darkening and break outs while using moisturizer. this is one of the best skincare products in india."
Original Orange Body Wash For Kids with Orange and Oat Protein - 300 ml,motherearth baby body wash is a gentle and soothing formulation for her baby. .
Brave Blueberry Body Wash For Kids with Blueberry and Oat Protein - 300 ml,"this body wash is made safe certified, which makes it gentle for use. it is also free from chemicals and toxins, which is why it is the most trustworthy brand I know."
Agent Apple Body Wash for Kids with Apple and Oat Protein - 300 ml,
Major Mango Body Wash For Kids with Mango and Oat Protein - 300 ml,"Mamaearth Mango Body Wash for Kids is lightweight with an amazing mango fragrance. made with the goodness of mango and oats protein, it keeps my children’s skin soft and well nourished."
Apple Cider Vinegar Foaming Face Wash with Apple Cider Vinegar and Aloe Vera Water for Deep Cleansing - 150ml,apple cider vinegar foaming face wash helps to improve skin health by exfoliating deeply and exfoliates to remove impurities from the skin surface and pores. has been using this face wash for a while now.
Ubtan Foaming Face Wash with Turmeric and Saffron for Tan Removal - 150ml,ubtan foaming face wash with turmeric & saffron is very good. it is made from natural ingredients and is safe. the packaging of this face wash is so amazing. it is good for all skin types.
Body Wash Combo: Vitamin C Body Wash and Charcoal Body Wash,both products are paraben & SLS free and suitable for all type skin.Value of customer.
